af	is nie
af	kan nie
af	nie
af	sal nie
af	was nie
am	ማስጠንቀቂያ
am	በቀዳሚ
am	በቀዳሚ ግምገማዎች ላይ
am	በቀዳሚ ግምገማዎች ላይ ያለው
am	በቀዳሚ ግምገማዎች ላይ ያለው ስምዎ
am	ደረጃ
am	ግምገማዎች ላይ
ar	غير
ar	لا
ar	لا يمكن
ar	لم يكن
ar	لن
az	bilmirəm
az	otaqlar
az	yox idi
az	yoxdur
be	не
be	не было
be	не магу
be	нумары
bg	не
bg	не е
bg	не мога да
bg	стаи
bn	অ
bn	ছিল না
bn	না
bn	পারে না
bs	ne
bs	ne mogu
bs	nećeš
bs	nije
bs	non
bs	zar ne
ca	no
ca	no pot
ceb	dili
ceb	non
cs	ne
cs	nebude
cs	nebyl
cs	nemá
cs	nemůžu
cs	není
cs	non
cy	allwch
cy	nad ydynt yn
cy	ni fydd
cy	nid
cy	nid oedd
cy	nid oes
cy	nid yw
cy	peidiwch â
da	er det ikke
da	ikke
da	kan ikke
da	var det ikke
da	vil ikke
de	nicht
de	war nicht
el	δεν
el	δεν ήταν
el	δεν είναι
el	δεν θα
el	δεν μπορεί να
el	μη
en	can't
en	doesn't
en	don't
en	isn't
en	non
en	not
en	wasn't
en	won't
eo	ne
eo	ne povas
es	no
es	no era
es	no se puede
et	ei
et	ei ole
et	ei olnud
et	ei saa
et	mitte
eu	ez
eu	ez da
eu	ez zen
eu	ezin
fa	غیر
fa	نبود
fa	نمی
fa	نمی تواند
fa	نه
fa	نیست
fi	ei
fi	ei ole
fi	ei ollut
fi	voi
fi	älä
fr	n'estce pas
fr	n'était pas
fr	ne
fr	ne pas
fr	ne peut pas
fr	non
fr	pas
ga	nach bhfuil
ga	neamh
ga	ná
ga	ní
ga	ní bheidh
ga	ní féidir
ga	ní raibh
gd	cha robh
gd	chan eil
gd	chan eil cha
gd	chan urrainn
gd	choisinn cha
gd	doesn'
gd	don't
gd	neo
gl	non
gl	non era
gl	non pode
gl	non é
gu	ન હતી
gu	નથી
gu	નથી કરી શકો છો
gu	નહીં
gu	બિન
hi	गैर
hi	नहीं
hi	नहीं कर सकते हैं
hi	नहीं था
hi	नहीं है
hi	नहीं होंगे
hr	ne
hr	ne mogu
hr	nije bilo
hr	sobe
ht	ka
ht	ki pa peye
ht	pa
ht	pa t'
ht	se pa
hu	nem
hy	ոչ
hy	չեմ կարող
hy	չի եղել
hy	սենյակներ
id	jangan
id	non
id	tidak
id	tidak bisa
is	ekki
is	er ekki
is	getur ekki
is	non
is	skiptir ekki
is	var ekki
it	non
it	non aveva
it	non avrà
it	non era
it	non ha
it	non hanno
it	non possono
it	non poteva
it	non potrà
it	non può
it	non saranno
it	non sono
it	non è
ja	できない
ja	な
ja	ない
ja	不
ka	არ
ka	არ არის
ka	არ იყო
ka	არ შეიძლება
ka	არა
kk	жоқ
kk	нөмірлері
km	នឹងមិន
km	មិន
km	មិនបាន
km	មិនមែន
km	មិនអាច
kn	ಅ
kn	ಅಲ್ಲ
kn	ಇಲ್ಲ
kn	ಮಾಡುವುದಿಲ್ಲ
kn	ಸಾಧ್ಯವಿಲ್ಲ
ko	비
ko	지
ko	지 않았
ko	할 수 없
ky	айта албайм
ky	болгон эмес
ky	номерин
ky	эмес
la	non
la	non potest
lb	net
lb	war net
lo	ຈະບໍ່ໄດ້
lo	ບໍ່
lo	ບໍ່ສາມາດ
lo	ບໍ່ແມ່ນ
lo	ບໍ່ໄດ້
lt	ne
lt	nebus
lt	nebuvau
lt	negaliu
lt	nereikia
lt	nėra
lv	nav
lv	nebija
lv	nebūs
lv	nevar
mg	tsy
mg	tsy afaka
mi	e kore e
mi	e kore e taea e
mi	e kore te mea
mi	kaua e
mi	kihai i
mi	kore
mk	не
mk	не беше
mk	не е
mk	не може да се
mk	нема да
ml	don ' t
ml	non
ml	won ' t
ml	അല്ല
ml	ആയിരുന്നില്ല.
ml	ഇല്ല
ml	കഴിയില്ല.
mn	байх болно
mn	байхгүй бол
mn	биш
mn	биш байсан
mn	бус
mn	чадахгүй
mr	अ
mr	करू शकत नाही
mr	नाही
mr	होणार नाही
ms	bukan
ms	bukankah
ms	jangan
ms	tidak
ms	tidak akan
ms	tidak boleh
mt	ma
mt	ma kienx
mt	ma tista
mt	mhuwiex
mt	mhux
mt	mhux se
my	ဘူး
my	မ
my	မည်မဟုတ်
my	မဟုတ်ခဲ့
ne	गैर
ne	छैन
ne	थिएन
ne	सक्दैन
nl	kan niet
nl	niet
nl	was niet
no	ikke
no	kan ikke
no	var ikke
pa	ਗੈਰ
pa	ਨਹੀ ਕਰਦਾ ਹੈ
pa	ਨਹੀ ਹੈ,
pa	ਨਾ
pa	ਨਾ ਕਰ ਸਕਦਾ ਹੈ
pa	ਨਾ ਕਰੇਗਾ
pa	ਨਾ ਕਰੋ
pa	ਨਾ ਕੀਤਾ ਗਿਆ ਸੀ
pl	nie
pl	nie było
pl	nie mogę
pl	pokoje
pt	não
pt	não era
pt	não pode
ro	non
ro	nu
ro	nu pot
ru	не
ru	не было
ru	не могу
ru	номера
si	නෑ
si	නේද
si	නොවන
si	බෑ
sk	nebol
sk	nebude
sk	neda
sk	nemá
sk	nemám
sk	nie
sk	nie je
sk	non
sl	ne
sl	ne morem
sl	ni
sl	ni bilo
sq	jo
sq	nuk
sq	nuk do të
sq	nuk ishte
sq	nuk mund të
sq	nuk është e
sr	бројеви
sr	не
sr	не могу да
sr	није било
su	bisa
su	moal
su	non
su	teu
sv	icke
sv	inte
sv	kan inte
sv	var inte
sw	haikuwa
sw	haina
sw	hawezi
sw	je, si
sw	mashirika yasiyo ya
sw	si
ta	அல்லாத
ta	இல்லை
ta	முடியாது
ta	வேண்டாம்
te	won ' t
te	కాదు
te	నాన్
te	లేదు
tg	буд,
tg	наметавонам
tg	не
tg	рақамҳои
th	ไม่
th	ไม่สามารถ
th	ไม่ใช่
tl	di
tl	hindi
tr	değil
tr	değildi
tr	olmayan
tr	olmaz
tr	yapamam
tr	yapma
uk	не
uk	не було
uk	не можу
uk	номери
ur	غیر
ur	نہیں
ur	نہیں تھا
ur	نہیں کر سکتے ہیں
uz	bo'lmaydi
uz	emas edi
uz	mumkin emas
uz	nooziq
uz	yo'q
uz	yo'q emas
uz	yo'q qilmaydi,
vi	không
vi	không phải
vi	không thể
vi	phải không
vi	sẽ không
vi	đó không
vi	đừng
xh	akusebenzi khange
xh	akuthethi ukuba
xh	andinaku
xh	ayonto
xh	hayi
xh	musa
xh	non
xh	uphumelele khange
yi	איז נישט
yi	וועט ניט
yi	טאָן ניט
yi	טוט ניט
yi	ניט
yi	קענען ניט
zh	不
zh	不不
zh	不能
zh	会不会
zh	是不是
zh	非
