Acınacaqlı	-2
Allah	1
Ananızı	-5
Angers	-3
Anısına	-2
Avenged	-2
Avengers	-2
Baxış	1
Bağış	2
Baş ağrısı	-2
Bitches	-5
Blockbuster	3
Boz	-1
Bravura	3
Bəli	1
Canlandırır	2
Challenge	-1
Charisma	2
Clears	1
Congrats	2
Convinces	1
Crowding	-1
Cynic	-2
Cənnət	2
Downer	-2
Ennui	-2
Envies	-1
ErrorWithTranslation	2
FTW	3
FUD	-3
Faking	-3
Fallen	-2
Favorit	2
Felonies	-3
Fuckin	-4
Greetings	2
Greets	1
Hallelujah	3
Haunted	-2
Heavenly	4
Heyrət! Vay	4
Hikmət	1
Infects	-2
Kickback	-3
Kickbacks	-3
Komik	2
Kredit	1
Kürəbəndlərin	-2
Kələkbazlar	-3
Lolol	4
Lurk	-1
MOPE	-1
Misread	-1
Mocks	-2
Moody	-1
Münaqişələr	-2
Narahatçılığa	-2
Niggas	-5
Noob	-2
Nöqtə	-1
OKS	2
Panics	-3
Parley	-1
Perfects	2
Prays	1
Qaçqınların	-2
Qeyritəsdiq	-2
Qusma	-3
ROBING	-2
ROTFL	4
Rahatsız	-2
Reigning	1
Robs	-2
Sabahınız xeyir	1
Sedat Laçiner	-2
Sevimli	2
Seçilmişlərə	2
Sonrakı	3
Suave	2
Survivor	2
Tard	-2
Touts	-2
Tyran	-3
Təsdiq edilməyən	-2
Unlovable	-2
Visions	1
Woow	4
XOXO	3
XOXOXO	4
Yarıbkeçmə	3
Yoluxucu	-2
Zorbalık	-2
abadlıq	2
abductions	-2
abhorred	-3
abhors	-3
aborts	-1
absolves	2
abırsızlıq	-2
ac	-2
accolade	2
acgöz	-2
aciz	-2
acizlik	-2
aclıq	-2
aclıq çəkmək	-2
aclığa məhkum	-2
acı	-2
acınacak halda	-2
acınacaqlı	-3
acıq	-2
acıqlanma	-2
acıyor	-2
acışdırıcı	-3
adam oğurluğu	-2
adam öldürmə	-3
adekvat	1
adlı	1
admiring	3
adored	3
adores	3
adoringly	3
affronted	-1
aficionados	2
aghast	-2
agonises	-3
agonized	-3
agonizes	-3
ahəngdar	2
aksamalar	-2
aktiv	2
akıllıca	2
aldadıcı	-3
aldadır	-3
aldatma	-2
aldatmacalardan	-2
aldatmaq	-3
aldattýn	-2
alert	-1
ali	4
alkışlanacak	2
allergik	-2
almaz	1
alovlu	2
alqış	2
alqışladı	2
alqışlamaq	2
alqışlar	2
alqışlayan	2
alqışlayır	2
alverçi	-2
alçaldıcı	-2
alçaltmaq	-2
alçaq, şərəfsiz	-3
ambivalent	-1
amused	3
amçux	-5
anal	-4
and içmək	-2
anlaşılmaz	-1
anlaşılmazlıq	-2
antaqonist	-2
anti	-1
antipatik	-2
aparıcı	2
apeshit	-3
apocalyptic	-2
appeases	2
appeasing	2
aqressiv	-2
aradan	-1
arsehole	-4
artan	1
artıb	1
artım	1
artırmaq	1
artırılmış	1
arxa	1
arzu	-1
arzu olunan	2
arzu olunmaz	-2
arzularını	1
arzulu	2
asan	1
ashame	-2
asqırarkn	-2
asqırmaq	-2
asqırıb	-2
asqırıq	-2
astounded	3
astounding	3
astoundingly	3
atdırmaq	-4
atılır	-1
atəş	-2
aura	1
avenges	-2
avenging	-2
averts	-1
axed	-1
axmaq	-3
axmaquxmaq	-2
aydın	1
aydınlaşdırır	2
aydınlıq	2
ayrıseçkilik	-2
ayıb	-2
azad	1
azad edən	2
azadlıq	2
azadlıqlar	2
azaldar	-2
azaldıb	-1
azaltmaq	2
azalıb	-1
azarkeş	3
azarlamak	-3
azdırmaq	-3
azlıq	-2
azğın	-1
açmaq	1
açıq	2
açığı	-2
ağartmaq	-3
ağladı	-2
ağlamaq	-2
ağlayan	-2
ağlayır	-2
ağrı	-2
ağrılı	-2
ağrıyan	-2
ağıllı	2
ağıllılıq	2
ağılsız	-2
ağır	-2
ağırlaşdırıcı	-2
ağırlaşdırılmış	-2
aşarsa	-2
aşağı	-2
aşağı performans	-2
aşağı qiymətləndirdiyini	-1
aşiq	3
aşılamağa	-2
aşılayır	-2
babatlıq	-3
bacarar	3
bacarıq	2
bacarıqlar	2
bad	-3
badass	-3
baha	3
bahalı	-2
bailout	-2
balanslaşdırılmış	1
baloncuklar	3
balta	-1
bamboozled	-2
bamboozles	-2
bankster	-3
barbar	-2
basqın	-2
bastards	-5
battled	-1
baxımlı	2
baxımsız	-2
baxımsızlıq	-2
bağlanacaq	-1
bağışladı	2
bağışlamaq	2
bağışlanmaz	-3
bağışlayandır	1
başlatdı	1
beatific	3
becerikli	2
belittled	-2
benefitting	2
benzersiz	2
berbat	-3
bereave	-2
bereaves	-2
bereaving	-2
betər	-3
bezdirici	-2
bezmək	-3
biabırçı	-2
bic	-2
biclik	-4
bilmir	-2
bir dəfəinaboyu	3
bir növ	0
birləşmiş	1
birsəslilik	-1
bitli	-2
bizləmək	-5
blah	-2
blok	-1
blokada	-2
blokları	-1
bolbol	2
bomba	-1
borc	-2
boykot	-2
boynuburuq	-3
boz	-1
bozma	-2
boğmaq	-2
boğucu	-2
boğularaq	-1
boğuldu	-2
boğulmaq	-2
boğulmuş	-2
boğuq	-2
boş	-1
boşluq	-1
brainwashing	-3
brilliances	3
brooding	-2
brutto	-2
bulanık	-2
bully	-2
bulutlu	-1
bummer	-2
bunt	-2
buraxılmış	-2
buruq	-2
buz	-1
böhran	-3
bölüşdürülməmiş	-1
böyük	3
böyük döşlər	4
bütöv	2
bütünlük	2
büxur	-2
bıçaqladı	-2
bədbin	-2
bədbinlik	-2
bədbəxt	-2
bədbəxt hadisə	-2
bədbəxtlik	-2
bədhesab	-3
bədlik	-3
bədnam	-2
bəhanə	-1
bəla	-3
bəlalar	-1
bəlaları	-3
bəli	1
bəraət	2
bəraətləndirmək	2
bərbad	-2
bərbadlıq	-2
bərk	2
bərkimə	-2
bərkimək	2
bərpa	1
bərpa etmək	1
bəsləmək	2
bəxt	2
bəxtəvər	2
bəyənilən	3
bəyənmə	2
cahil	-2
calms	2
can	3
can atan	2
can vermək	-3
canavarlaştırmak	-2
canlandırmaq	2
canlı	2
cansıxıcı	-2
cansız	-1
canıyanan	2
cavab	2
cavahirat	1
cavan	2
cazibə	3
cazibədar	3
cazibəsiz	-3
chagrined	-2
chastising	-3
cheated	-3
cherishes	2
cherishing	2
chided	-3
chides	-3
chiding	-3
ciddi	2
cilalanmış	2
cinayət	-3
cinayətkar	-2
cinayətkarlar	-3
cinayətlər	-2
cinli	-2
cinləndirmək	-2
clueless	-2
cocksuckers	-5
colluding	-3
comforts	2
complimented	2
conciliated	2
conciliates	2
consolable	2
contaminant	-2
contemptuously	-2
contending	-1
controversially	-2
convivial	2
cool stuff	3
coziness	2
coşğun	4
crazier	-2
craziest	-2
criminated	-3
criminates	-3
crushes	-1
cutbacks	-2
cübbəli	-2
cümlə	-2
cümlələr	-2
cür	2
cüzi	-2
cılız	-2
cırıq	-2
cəfakeş	-2
cəfəng	-2
cəfənglik	-2
cəhalət	-2
cəhənnəm	-4
cəlb	1
cəlbedici	1
cəld	1
cənazələri	-1
cənnət	3
cərimə	-2
cərimələr	-2
cəsarət	2
cəsarətli	3
cəsarətlilik	2
cəsarətlə	2
cəsəd	-1
cəza	-2
cəzalandırmaq	-2
cəzalandırmağı	-3
cəzalandırılması	-2
cəzalandırır	-2
dadsız	-2
daha güclü	2
dalmış	1
damcı	-1
danma	-2
daraldır	-2
darıxdırıcı	-2
darıxmaq	-2
davamlı	2
davamlılıq	1
davranmayan	-2
davranış sərgilədi	-2
davranışa	-2
dayana bilər	-3
dayandı	-1
dayandırma	-1
dayandırmaq	-1
dayandırılıb	-1
dayandırılıbdır	-2
dayaq	1
dayaqsız	-2
dağıdıcı	-2
dağılma	-2
dağıntılarla	-2
daşlaşmış	-2
daşındırıcı	-2
deadening	-2
defisit	-2
deformities	-2
defrauds	-3
degrades	-2
dehumanized	-2
dehumanizing	-2
dejecting	-2
dejects	-2
deli	-3
delighting	3
demoralize	-2
demoralizing	-2
deportasiya	-2
deportasiyalar	-2
deqradasiyaya	-2
derided	-2
derides	-2
deriding	-2
despairing	-3
detracted	-1
detracts	-1
devotional	2
deyingən qadın	-4
dezavantajlı	-2
